Title,Note,URL,Tags,Comment
Arcipelago della Maddalena,,https://www.google.com/maps/place/Arcipelago+della+Maddalena/data=!4m2!3m1!1s0x12d969cea7f4daa9:0xfee65ada314966b4,,
Lungomare di Olbia,,https://www.google.com/maps/place/Lungomare+di+Olbia/data=!4m2!3m1!1s0x12d94b3d3aa6443f:0x268a1bb52cc35232,,
Sos Genovesos,,https://www.google.com/maps/place/Sos+Genovesos/data=!4m2!3m1!1s0x12dda75ee306dd55:0x9e74a0f97e09cdbc,,
S'Archittu,,https://www.google.com/maps/place/S'Archittu/data=!4m2!3m1!1s0x12dda75ed1889a2f:0xadbb69d93d50b8a3,,
Punto Panoramico S'Archittu,,https://www.google.com/maps/place/Punto+Panoramico+S'Archittu/data=!4m2!3m1!1s0x12dda75950bce225:0x179e59447ab45885,,
Spiaggetta dell'Arco,,https://www.google.com/maps/place/Spiaggetta+dell'Arco/data=!4m2!3m1!1s0x12dda75eafa2d8d7:0x12130e2ed22b79c8,,
Turre de su Putu,,https://www.google.com/maps/place/Turre+de+su+Putu/data=!4m2!3m1!1s0x12dda756d10bca65:0x3d033d1b4bc7ddbb,,
Punta Is Arutas,,https://www.google.com/maps/place/Punta+Is+Arutas/data=!4m2!3m1!1s0x12dd75a9592708bd:0x882f05d84d5b3daa,,
Is Arutas beach,,https://www.google.com/maps/place/Is+Arutas+beach/data=!4m2!3m1!1s0x12dd747724a224f3:0x1caba2d3b2fe4640,,
Montiferru,,https://www.google.com/maps/place/Montiferru/data=!4m2!3m1!1s0x12ddaeb8291ec125:0x372790feeed2009,,
La Sala da Ballo,,https://www.google.com/maps/place/La+Sala+da+Ballo/data=!4m2!3m1!1s0x12dd76fab72d33f1:0xaa6a7315f2ccfe05,,
Spiaggetta di San Giovanni di Sinis,,https://www.google.com/maps/place/Spiaggetta+di+San+Giovanni+di+Sinis/data=!4m2!3m1!1s0x12dd770038cbbf25:0x241ace2718bd03c5,,
Spiaggia di San Giovanni di Sinis,,https://www.google.com/maps/place/Spiaggia+di+San+Giovanni+di+Sinis/data=!4m2!3m1!1s0x12dd76fe4824723d:0xcd72a745e8bc8972,,
Spiaggia di San Giovanni di Sinis,,https://www.google.com/maps/place/Spiaggia+di+San+Giovanni+di+Sinis/data=!4m2!3m1!1s0x12dd7700f2255675:0xaa24c83ae04fc5ab,,
